Ref,Val,Package,PosX,PosY,Rot,Side
"C_IOVDD0","10uF","C_0402_1005Metric",385.318000,-36.830000,180.000000,top
"C_IOVDD_0","0.1uF","C_0402_1005Metric",385.318000,-38.100000,180.000000,top
"C_RESET1","100nF","C_0402_1005Metric",392.430000,-43.434000,90.000000,top
"D101","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",416.718750,-33.337500,0.000000,top
"D102","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",378.618750,-33.337500,0.000000,top
"D103","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",397.668750,-33.337500,180.000000,top
"MX1","ESC","MXOnly-1U-NoLED",35.718750,-33.337500,0.000000,top
"MX2","~~","MXOnly-1U-NoLED",35.718750,-61.912500,0.000000,top
"MX3","Tab","MXOnly-1.5U-NoLED",40.481250,-80.962500,0.000000,top
"MX4","Caps Lock","MXOnly-1.75U-NoLED",42.862500,-100.012500,0.000000,top
"MX5","Ctrl","MXOnly-1.25U-NoLED",38.100000,-138.112500,0.000000,top
"MX6","1","MXOnly-1U-NoLED",54.768750,-61.912500,0.000000,top
"MX7","Shift","MXOnly-2.25U-NoLED",47.625000,-119.062500,0.000000,top
"MX8","Win","MXOnly-1.25U-NoLED",61.912500,-138.112500,0.000000,top
"MX9","F1","MXOnly-1U-NoLED",73.818750,-33.337500,0.000000,top
"MX10","2","MXOnly-1U-NoLED",73.818750,-61.912500,0.000000,top
"MX11","Q","MXOnly-1U-NoLED",64.293750,-80.962500,0.000000,top
"MX12","A","MXOnly-1U-NoLED",69.056250,-100.012500,0.000000,top
"MX13","Z","MXOnly-1U-NoLED",78.581250,-119.062500,0.000000,top
"MX14","F2","MXOnly-1U-NoLED",92.868750,-33.337500,0.000000,top
"MX15","3","MXOnly-1U-NoLED",92.868750,-61.912500,0.000000,top
"MX16","W","MXOnly-1U-NoLED",83.343750,-80.962500,0.000000,top
"MX17","S","MXOnly-1U-NoLED",88.106250,-100.012500,0.000000,top
"MX18","X","MXOnly-1U-NoLED",97.631250,-119.062500,0.000000,top
"MX19","Alt","MXOnly-1.25U-NoLED",85.725000,-138.112500,0.000000,top
"MX20","F3","MXOnly-1U-NoLED",111.918750,-33.337500,0.000000,top
"MX21","4","MXOnly-1U-NoLED",111.918750,-61.912500,0.000000,top
"MX22","E","MXOnly-1U-NoLED",102.393750,-80.962500,0.000000,top
"MX23","D","MXOnly-1U-NoLED",107.156250,-100.012500,0.000000,top
"MX24","C","MXOnly-1U-NoLED",116.681250,-119.062500,0.000000,top
"MX25","F4","MXOnly-1U-NoLED",130.968750,-33.337500,0.000000,top
"MX26","5","MXOnly-1U-NoLED",130.968750,-61.912500,0.000000,top
"MX27","R","MXOnly-1U-NoLED",121.443750,-80.962500,0.000000,top
"MX28","F","MXOnly-1U-NoLED",126.206250,-100.012500,0.000000,top
"MX29","V","MXOnly-1U-NoLED",135.731250,-119.062500,0.000000,top
"MX30","6","MXOnly-1U-NoLED",150.018750,-61.912500,0.000000,top
"MX31","T","MXOnly-1U-NoLED",140.493750,-80.962500,0.000000,top
"MX32","G","MXOnly-1U-NoLED",145.256250,-100.012500,0.000000,top
"MX33","B","MXOnly-1U-NoLED",154.781250,-119.062500,0.000000,top
"MX34","Space","MXOnly-6.25U-NoLED",157.162500,-138.112500,0.000000,top
"MX35","F5","MXOnly-1U-NoLED",159.543750,-33.337500,0.000000,top
"MX36","7","MXOnly-1U-NoLED",169.068750,-61.912500,0.000000,top
"MX37","Y","MXOnly-1U-NoLED",159.543750,-80.962500,0.000000,top
"MX38","H","MXOnly-1U-NoLED",164.306250,-100.012500,0.000000,top
"MX39","N","MXOnly-1U-NoLED",173.831250,-119.062500,0.000000,top
"MX40","F6","MXOnly-1U-NoLED",178.593750,-33.337500,0.000000,top
"MX41","8","MXOnly-1U-NoLED",188.118750,-61.912500,0.000000,top
"MX42","U","MXOnly-1U-NoLED",178.593750,-80.962500,0.000000,top
"MX43","J","MXOnly-1U-NoLED",183.356250,-100.012500,0.000000,top
"MX44","M","MXOnly-1U-NoLED",192.881250,-119.062500,0.000000,top
"MX45","F7","MXOnly-1U-NoLED",197.643750,-33.337500,0.000000,top
"MX46","9","MXOnly-1U-NoLED",207.168750,-61.912500,0.000000,top
"MX47","I","MXOnly-1U-NoLED",197.643750,-80.962500,0.000000,top
"MX48","K","MXOnly-1U-NoLED",202.406250,-100.012500,0.000000,top
"MX49",",","MXOnly-1U-NoLED",211.931250,-119.062500,0.000000,top
"MX50","F8","MXOnly-1U-NoLED",216.693750,-33.337500,0.000000,top
"MX51","0","MXOnly-1U-NoLED",226.218750,-61.912500,0.000000,top
"MX52","O","MXOnly-1U-NoLED",216.693750,-80.962500,0.000000,top
"MX53","L","MXOnly-1U-NoLED",221.456250,-100.012500,0.000000,top
"MX54",".","MXOnly-1U-NoLED",230.981250,-119.062500,0.000000,top
"MX55","R-Alt","MXOnly-1U-NoLED",226.218750,-138.112500,0.000000,top
"MX56","F9","MXOnly-1U-NoLED",245.268750,-33.337500,0.000000,top
"MX57","-","MXOnly-1U-NoLED",245.268750,-61.912500,0.000000,top
"MX58","P","MXOnly-1U-NoLED",235.743750,-80.962500,0.000000,top
"MX59",";","MXOnly-1U-NoLED",240.506250,-100.012500,0.000000,top
"MX60","/","MXOnly-1U-NoLED",250.031250,-119.062500,0.000000,top
"MX61","Fn","MXOnly-1U-NoLED",245.268750,-138.112500,0.000000,top
"MX62","F10","MXOnly-1U-NoLED",264.318750,-33.337500,0.000000,top
"MX63","=","MXOnly-1U-NoLED",264.318750,-61.912500,0.000000,top
"MX64","[","MXOnly-1U-NoLED",254.793750,-80.962500,0.000000,top
"MX65","'","MXOnly-1U-NoLED",259.556250,-100.012500,0.000000,top
"MX66","R-Ctrl","MXOnly-1U-NoLED",264.318750,-138.112500,0.000000,top
"MX67","F11","MXOnly-1U-NoLED",283.368750,-33.337500,0.000000,top
"MX68","]","MXOnly-1U-NoLED",273.843750,-80.962500,0.000000,top
"MX69","Enter","MXOnly-2.25U-NoLED",290.512500,-100.012500,0.000000,top
"MX70","R-Shift","MXOnly-1.75U-NoLED",276.225000,-119.062500,0.000000,top
"MX71","Left","MXOnly-1U-NoLED",288.131250,-142.875000,0.000000,top
"MX72","F12","MXOnly-1U-NoLED",302.418750,-33.337500,0.000000,top
"MX73","Backspace","MXOnly-2U-NoLED",292.893750,-61.912500,0.000000,top
"MX74","\","MXOnly-1.5U-NoLED",297.656250,-80.962500,0.000000,top
"MX75","Up","MXOnly-1U-NoLED",307.181250,-123.825000,0.000000,top
"MX76","Down","MXOnly-1U-NoLED",307.181250,-142.875000,0.000000,top
"MX77","Prnt Scrn","MXOnly-1U-NoLED",330.993750,-33.337500,0.000000,top
"MX78","Insert","MXOnly-1U-NoLED",330.993750,-61.912500,0.000000,top
"MX79","PgUp","MXOnly-1U-NoLED",330.993750,-80.962500,0.000000,top
"MX80","PgDn","MXOnly-1U-NoLED",330.993750,-100.012500,0.000000,top
"MX81","Delete","MXOnly-1U-NoLED",330.993750,-119.062500,0.000000,top
"MX82","Right","MXOnly-1U-NoLED",326.231250,-142.875000,0.000000,top
"MX83","Num Lock","MXOnly-1U-NoLED",359.568750,-61.912500,0.000000,top
"MX84","num7","MXOnly-1U-NoLED",359.568750,-80.962500,0.000000,top
"MX85","num4","MXOnly-1U-NoLED",359.568750,-100.012500,0.000000,top
"MX86","num1","MXOnly-1U-NoLED",359.568750,-119.062500,0.000000,top
"MX87","Knob","RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm",362.068750,-26.087500,-90.000000,top
"MX88","num/","MXOnly-1U-NoLED",378.618750,-61.912500,0.000000,top
"MX89","num8","MXOnly-1U-NoLED",378.618750,-80.962500,0.000000,top
"MX90","num5","MXOnly-1U-NoLED",378.618750,-100.012500,0.000000,top
"MX91","num2","MXOnly-1U-NoLED",378.618750,-119.062500,0.000000,top
"MX92","num0","MXOnly-2U-NoLED",369.093750,-138.112500,0.000000,top
"MX93","num*","MXOnly-1U-NoLED",397.668750,-61.912500,0.000000,top
"MX94","num9","MXOnly-1U-NoLED",397.668750,-80.962500,0.000000,top
"MX95","num6","MXOnly-1U-NoLED",397.668750,-100.012500,0.000000,top
"MX96","num3","MXOnly-1U-NoLED",397.668750,-119.062500,0.000000,top
"MX97","num.","MXOnly-1U-NoLED",397.668750,-138.112500,0.000000,top
"MX98","num-","MXOnly-1U-NoLED",416.718750,-61.912500,0.000000,top
"MX99","num+","MXOnly-2U-VerticalStabilizers-NoLED",416.718750,-128.587500,0.000000,top
"MX100","numEnter","MXOnly-2U-VerticalStabilizers-NoLED",416.718750,-90.487500,0.000000,top
"R_BADGE1","500","R_0805_2012Metric",412.242000,-39.116000,0.000000,top
"R_CAPS1","10","R_0805_2012Metric",396.240000,-36.576000,90.000000,top
"R_NUMLK1","10","R_0805_2012Metric",380.238000,-36.576000,90.000000,top
